Ticker,TickSize,TickValue,ContractSize,InitialMargin
BIT,5,0.05,0.01, 210.1
MES,0.25,1.25,5,1298
MNQ,0.25,0.50,2,1947
MYM,1.00,0.50,0.50,924
M2K,0.10,0.50,5,715
ES,0.25,12.50,50,12980
NQ,0.25,5.00,20,19470
YM,1,5.00,5,9240
RTY,0.10,5.00,50,7150
EMD,0.10,10.00,100,16610
NKD,5,25.00,5,9350
6A,0.0001,10.00,100000,1595
6B,0.0001,6.25,62500,2090
6C,0.00005,5.00,100000,1100
6E,0.00005,6.25,125000,2310
6J,0.0000005,6.25,12500000,2860
6S,0.0001,12.50,125000,4070
M6A,0.0001,1.00,10000,159.5
M6E,0.0001,1.25,12500,231
CL,0.01,10.00,1000,7260
QM,0.025,12.50,500,3630
MCL,0.01,1.00,100,726
NG,0.001,10.00,10000,6050
QG,0.005,12.50,2500,1515.5
RB,0.0001,4.20,42000,8690
HO,0.0001,4.20,42000,9460
GC,0.1,10.00,100,9130
QO,0.25,12.50,50,4565
MGC,0.10,1.00,10,913
HG,0.0005,12.50,25000,4400
SI,0.005,25.00,5000,8800
QI,0.0125,31.25,2500,4400
PL,0.1,5.00,50,2750
UB,0.03125,31.25,1000,1000
ZB,0.03125,31.25,1000,2145
ZF,0.0078125,7.8125,1000,1540
ZN,0.015625,15.625,1000,2337.50
ZT,0.0078125,15.625,2000,1265
ZC,0.25,12.50,50,1430
ZW,0.25,12.50,50,2585
ZS,0.25,12.50,50,2640
ZL,0.01,6.00,600,1980
ZM,0.10,10.00,100,2090

