Ticker,Price,Price Change,Price Percent Change,Volume,avgVolume,CurrentCommitment
YM=F,44871.0,-20.0,-0.045,877,877.0,1.0
ES=F,6061.75,-2.25,-0.037,9699,9699.0,1.0
NQ=F,21208.0,-12.0,-0.057,4830,4830.0,1.0
RTY=F,2441.2,-3.5,-0.143,1361,1361.0,1.0
EMD=F,3363.6,-2.5,-0.074,26,26.0,1.0
NKD=F,39000.0,305.0,0.788,799,799.0,1.0
ZF=F,107.531,-0.016,-0.015,14025,14025.0,1.0
ZT=F,103.027,-0.004,-0.004,8856,8856.0,1.0
UB=F,127.344,-0.156,-0.123,2453,2453.0,1.0
ZN=F,111.094,-0.047,-0.042,21896,21896.0,1.0
ZB=F,119.531,-0.125,-0.104,3778,3778.0,1.0
10Y=F,4.197,0.013,0.311,72,72.0,1.0
6A=F,0.647,-0.0,-0.046,6110,6110.0,1.0
6B=F,1.265,-0.0,-0.024,1647,1647.0,1.0
6J=F,0.007,-0.0,-0.231,9056,9056.0,1.0
6C=F,0.712,-0.0,-0.056,1425,1425.0,1.0
6S=F,1.128,-0.001,-0.111,1579,1579.0,1.0
6E=F,1.05,-0.001,-0.071,6167,6167.0,1.0
ZS=F,991.0,-5.75,-0.577,60754,60754.0,1.0
ZL=F,41.36,-0.28,-0.672,77095,77095.0,1.0
ZC=F,433.25,0.25,0.058,159247,159247.0,1.0
ZW=F,547.75,-0.25,-0.046,49368,49368.0,1.0
ZM=F,288.0,-4.2,-1.437,70698,70698.0,1.0
RB=F,1.92,0.001,0.068,86,86.0,1.0
CL=F,68.17,0.01,0.015,948,948.0,1.0
NG=F,3.198,-0.009,-0.281,642,642.0,1.0
QM=F,68.2,0.075,0.11,36,36.0,1.0
QG=F,3.2,0.0,0.0,40,40.0,1.0
HO=F,2.18,0.001,0.06,166,166.0,1.0
GC=F,2665.3,3.3,0.124,3474,3474.0,1.0
HG=F,4.144,0.005,0.133,1106,1106.0,1.0
SI=F,31.005,0.015,0.048,1046,1046.0,1.0
QI=F,30.987,-0.088,-0.282,11,11.0,1.0
QO=F,2665.5,4.25,0.16,15,15.0,1.0
PL=F,951.5,0.3,0.032,659,659.0,1.0
PA=F,997.0,3.5,0.352,40,40.0,1.0
MYM=F,44869.0,-12.0,-0.027,864,864.0,1.0
MES=F,6061.75,-1.25,-0.021,7664,7664.0,1.0
MNQ=F,21207.75,-7.25,-0.034,13372,13372.0,1.0
M2K=F,2441.2,-3.2,-0.131,845,845.0,1.0
MGC=F,2665.4,4.1,0.154,3086,3086.0,1.0
MCL=F,68.16,0.01,0.015,844,844.0,1.0
M6A=F,0.647,-0.001,-0.108,631,631.0,1.0
M6E=F,1.049,-0.001,-0.086,617,617.0,1.0
MBT=F,97040.0,615.0,0.638,2645,2645.0,1.0
MET=F,3681.5,20.5,0.56,3962,3962.0,1.0
