ticker,price,volume,avg_volume,commitment
BTC-USD,99042.23,28639567872,56118034510,0.51
ETH-USD,3639.76,16433174528,29207540546,0.56
LTC-USD,113.23,591297280,873847942,0.68
XRP-USD,2.38,4236732928,8352868835,0.51
DOT-USD,7.67,270842976,579931653,0.47
ADA-USD,1.08,1205128320,1646784161,0.73
SOL-USD,213.94,2501785344,4761672419,0.53
LINK-USD,23.38,632670848,977791269,0.65
UNI-USD,0.0,3,23,0.13
BCH-USD,470.45,284705952,574127649,0.5
XLM-USD,0.44,525183168,1113724000,0.47
AXS-USD,7.02,67590680,137489959,0.49
ATOM-USD,7.39,179334336,278194347,0.64
ICP-USD,11.97,196162800,198383675,0.99
FTM-USD,0.78,330423744,422436613,0.78
FIL-USD,6.04,519143744,405342610,1.28
AVAX-USD,43.51,492124320,760315616,0.65
SAND-USD,0.67,488079456,461603249,1.06
MANA-USD,0.56,132970192,165302606,0.8
ENJ-USD,0.24,26051846,36630609,0.71
NEAR-USD,5.88,280201344,604135207,0.46
VET-USD,0.05,69215544,131000212,0.53
