ticker,price,volume,avg_volume,commitment
EURUSD=X,1.03,N/A,N/A,N/A
GBPUSD=X,1.25,N/A,N/A,N/A
JPY=X,157.69,N/A,N/A,N/A
AUDUSD=X,0.62,N/A,N/A,N/A
CADUSD=X,0.7,N/A,N/A,N/A
CHFUSD=X,1.1,N/A,N/A,N/A
NZDUSD=X,0.56,N/A,N/A,N/A
HKDUSD=X,0.13,N/A,N/A,N/A
ZARUSD=X,0.05,N/A,N/A,N/A
SGDUSD=X,0.73,N/A,N/A,N/A
CNYUSD=X,0.14,N/A,N/A,N/A
INRUSD=X,0.01,N/A,N/A,N/A
TRYUSD=X,0.03,N/A,N/A,N/A
MXNUSD=X,0.05,N/A,N/A,N/A
NOKUSD=X,0.09,N/A,N/A,N/A
SEKUSD=X,0.09,N/A,N/A,N/A
ILSUSD=X,0.27,N/A,N/A,N/A
RUBUSD=X,0.01,N/A,N/A,N/A
THBUSD=X,0.03,N/A,N/A,N/A
PLNUSD=X,0.24,N/A,N/A,N/A
KRWUSD=X,0.0,N/A,N/A,N/A
VNDUSD=X,0.0,N/A,N/A,N/A
