ticker,price,volume,avg_volume,commitment
ES=F,6001.75,55492,1324791,0.04
NQ=F,21592.5,38686,497702,0.08
CL=F,73.59,30523,272337,0.11
GC=F,2640.0,35769,5270,6.79
ZN=F,108.44,214019,1568010,0.14
SI=F,30.15,8516,1645,5.18
YM=F,43031.0,5897,104432,0.06
RTY=F,2284.2,5040,157413,0.03
PL=F,946.0,4437,241,18.41
NG=F,3.62,20845,182430,0.11
HG=F,4.08,9606,1616,5.94
MNQ=F,21593.25,136291,1186825,0.11
HE=F,N/A,N/A,19968,N/A
ZB=F,113.03,44564,382280,0.12
ZF=F,106.12,112964,1034104,0.11
ZT=F,102.73,75024,645233,0.12
KC=F,N/A,N/A,11527,N/A
CT=F,68.02,1246,15521,0.08
OJ=F,N/A,N/A,N/A,N/A
MES=F,6002.0,59286,799475,0.07
ZW=F,532.5,4597,51885,0.09
ZL=F,40.12,4791,48223,0.1
