ticker,price,volume,avg_volume,commitment
AAPL,243.36,40202700,44012600,0.91
MSFT,423.35,16640200,20773782,0.8
GOOGL,191.79,18582000,27478127,0.68
AMZN,224.19,27485000,37601704,0.73
TSLA,410.44,94818400,92934400,1.02
NFLX,881.05,2967300,3273077,0.91
NVDA,144.47,228535600,219256354,1.04
META,604.63,11418600,11991590,0.95
IBM,222.65,3872100,4139545,0.94
ORCL,166.32,5876000,7528587,0.78
INTC,20.56,48883700,68411261,0.71
CSCO,58.86,18859000,18674150,1.01
AMD,125.37,36693100,36565756,1.0
ADBE,430.57,5617000,3528998,1.59
CRM,332.9,4101200,5809380,0.71
PYPL,87.6,6132500,9123529,0.67
SAP,241.4,746500,896846,0.83
UBER,64.59,28516000,23468069,1.22
LYFT,14.27,17056300,14938785,1.14
SQ,92.16,10626100,7985890,1.33
SHOP,109.25,2957900,7331867,0.4
PINS,30.94,8238600,9818080,0.84
